"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
record_id,geography_and_intro,,text,"Record ID",,,,,,,,,,,,,
email,geography_and_intro,,text,"Email address",,,email,,,,,y,,,,,
first_name,geography_and_intro,,text,"First name",,,,,,y,,,,,,,
last_name,geography_and_intro,,text,"Last name",,,,,,y,,,,,,,
country,geography_and_intro,,dropdown,"What country are reporting on?","AFG, Afghanistan | ALA, Aland Islands | ALB, Albania | DZA, Algeria | ASM, American Samoa | AND, Andorra | AGO, Angola | AIA, Anguilla | ATA, Antarctica | ATG, Antigua and Barbuda | ARG, Argentina | ARM, Armenia | ABW, Aruba | AUS, Australia | AUT, Austria | AZE, Azerbaijan | BHS, Bahamas | BHR, Bahrain | BGD, Bangladesh | BRB, Barbados | BLR, Belarus | BEL, Belgium | BLZ, Belize | BEN, Benin | BMU, Bermuda | BTN, Bhutan | BOL, Bolivia (Plurinational State of) | BES, ""Bonaire, Sint Eustatius and Saba"" | BIH, Bosnia and Herzegovina | BWA, Botswana | BVT, Bouvet Island | BRA, Brazil | IOT, British Indian Ocean Territory | BRN, Brunei Darussalam | BGR, Bulgaria | BFA, Burkina Faso | BDI, Burundi | CPV, Cabo Verde | KHM, Cambodia | CMR, Cameroon | CAN, Canada | CYM, Cayman Islands | CAF, Central African Republic | TCD, Chad | CHL, Chile | CHN, China | CXR, Christmas Island | CCK, Cocos (Keeling) Islands | COL, Colombia | COM, Comoros | COG, Congo | COD, ""Congo, Democratic Republic of the"" | COK, Cook Islands | CRI, Costa Rica | CIV, Côte d'Ivoire | HRV, Croatia | CUB, Cuba | CUW, Curaçao | CYP, Cyprus | CZE, Czechia | DNK, Denmark | DJI, Djibouti | DMA, Dominica | DOM, Dominican Republic | ECU, Ecuador | EGY, Egypt | SLV, El Salvador | GNQ, Equatorial Guinea | ERI, Eritrea | EST, Estonia | SWZ, Eswatini | ETH, Ethiopia | FLK, Falkland Islands (Malvinas) | FRO, Faroe Islands | FJI, Fiji | FIN, Finland | FRA, France | GUF, French Guiana | PYF, French Polynesia | ATF, French Southern Territories | GAB, Gabon | GMB, Gambia | GEO, Georgia | DEU, Germany | GHA, Ghana | GIB, Gibraltar | GRC, Greece | GRL, Greenland | GRD, Grenada | GLP, Guadeloupe | GUM, Guam | GTM, Guatemala | GGY, Guernsey | GIN, Guinea | GNB, Guinea-Bissau | GUY, Guyana | HTI, Haiti | HMD, Heard Island and McDonald Islands | VAT, Holy See | HND, Honduras | HKG, Hong Kong | HUN, Hungary | ISL, Iceland | IND, India | IDN, Indonesia | IRN, Iran (Islamic Republic of) | IRQ, Iraq | IRL, Ireland | IMN, Isle of Man | ISR, Israel | ITA, Italy | JAM, Jamaica | JPN, Japan | JEY, Jersey | JOR, Jordan | KAZ, Kazakhstan | KEN, Kenya | KIR, Kiribati | PRK, Korea (Democratic People's Republic of) | KOR, ""Korea, Republic of"" | KWT, Kuwait | KGZ, Kyrgyzstan | LAO, Lao People's Democratic Republic | LVA, Latvia | LBN, Lebanon | LSO, Lesotho | LBR, Liberia | LBY, Libya | LIE, Liechtenstein | LTU, Lithuania | LUX, Luxembourg | MAC, Macao | MDG, Madagascar | MWI, Malawi | MYS, Malaysia | MDV, Maldives | MLI, Mali | MLT, Malta | MHL, Marshall Islands | MTQ, Martinique | MRT, Mauritania | MUS, Mauritius | MYT, Mayotte | MEX, Mexico | FSM, Micronesia (Federated States of) | MDA, ""Moldova, Republic of"" | MCO, Monaco | MNG, Mongolia | MNE, Montenegro | MSR, Montserrat | MAR, Morocco | MOZ, Mozambique | MMR, Myanmar | NAM, Namibia | NRU, Nauru | NPL, Nepal | NLD, Netherlands | NCL, New Caledonia | NZL, New Zealand | NIC, Nicaragua | NER, Niger | NGA, Nigeria | NIU, Niue | NFK, Norfolk Island | MKD, North Macedonia | MNP, Northern Mariana Islands | NOR, Norway | OMN, Oman | PAK, Pakistan | PLW, Palau | PSE, ""Palestine, State of"" | PAN, Panama | PNG, Papua New Guinea | PRY, Paraguay | PER, Peru | PHL, Philippines | PCN, Pitcairn | POL, Poland | PRT, Portugal | PRI, Puerto Rico | QAT, Qatar | REU, Réunion | ROU, Romania | RUS, Russian Federation | RWA, Rwanda | BLM, Saint Barthélemy | SHN, ""Saint Helena, Ascension and Tristan da Cunha"" | KNA, Saint Kitts and Nevis | LCA, Saint Lucia | MAF, Saint Martin (French part) | SPM, Saint Pierre and Miquelon | VCT, Saint Vincent and the Grenadines | WSM, Samoa | SMR, San Marino | STP, Sao Tome and Principe | SAU, Saudi Arabia | SEN, Senegal | SRB, Serbia | SYC, Seychelles | SLE, Sierra Leone | SGP, Singapore | SXM, Sint Maarten (Dutch part) | SVK, Slovakia | SVN, Slovenia | SLB, Solomon Islands | SOM, Somalia | ZAF, South Africa | SGS, South Georgia and the South Sandwich Islands | SSD, South Sudan | ESP, Spain | LKA, Sri Lanka | SDN, Sudan | SUR, Suriname | SJM, Svalbard and Jan Mayen | SWE, Sweden | CHE, Switzerland | SYR, Syrian Arab Republic | TWN, Taiwan | TJK, Tajikistan | TZA, ""Tanzania, United Republic of"" | THA, Thailand | TLS, Timor-Leste | TGO, Togo | TKL, Tokelau | TON, Tonga | TTO, Trinidad and Tobago | TUN, Tunisia | TUR, Turkey | TKM, Turkmenistan | TCA, Turks and Caicos Islands | TUV, Tuvalu | UGA, Uganda | UKR, Ukraine | ARE, United Arab Emirates | GBR, United Kingdom of Great Britain and Northern Ireland | USA, United States of America | UMI, United States Minor Outlying Islands | URY, Uruguay | UZB, Uzbekistan | VUT, Vanuatu | VEN, Venezuela (Bolivarian Republic of) | VNM, Vietnam | VGB, Virgin Islands (British) | VIR, Virgin Islands (U.S.) | WLF, Wallis and Futuna | ESH, Western Sahara | YEM, Yemen | ZMB, Zambia | ZWE, Zimbabwe",,autocomplete,,,,,y,,,,,
us_only_adminlevel,admin_1_unit_and_updates,,radio,"For what administrative level are you entering data?","0, National | 1, State | 2, County | 3, Other (including city)",,,,,,"[country]=""USA""",y,,,,,
adm1,admin_1_unit_and_updates,,sql,"Administrative 1 Unit (states, provinces etc)

Country: [country]","SELECT GID_1, CONCAT(NAME_0,"" - "",NAME_1)
FROM `PID_3252_admin_units`
WHERE NAME_2 = cast((select value from redcap_data where project_id = 3252 and record=[record-name] and field_name='country') as CHAR)",,,,,,"[country]!=""USA"" OR ([country]=""USA"" AND [us_only_adminlevel]!=0)",,,,,,
